reference_id	former_id	id_bp	vfid	vsiid	ssid	feature_names	gene_host	recname_full	subname_full	Source	Literature Name	User Designated Name	Gene Name(s)	Virulence Factor Type	Short Description	Long Description	Update Date	Status	Protein Sequences	Nucleotide Sequences	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID06736	2709|vfid|47932|vsiid|68769|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8G_[Staphylococcus_aureus_subsp._aureus_MW2]	1125	2709	47932	68769	capsular_polysaccharide_synthesis_enzyme_Cap8G_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281859"" target=""_blank"">21281859</a>"	NP_644945.1	NP_644945|capsular polysaccharide synthesis enzyme Cap8G|NP_644945	virulence protein	capsular polysaccharide synthesis enzyme Cap8G [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	1125	1279	1124	0.9991115339999926	1027741	386409.5778385691	8513259.627739666	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4230	194	436.3368091050185	9459.912780945991	387.8549414266831	8408.81136084088
ID06889	2708|vfid|47931|vsiid|68768|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8F_[Staphylococcus_aureus_subsp._aureus_MW2]	1110	2708	47931	68768	capsular_polysaccharide_synthesis_enzyme_Cap8F_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281858"" target=""_blank"">21281858</a>"	NP_644944.1	NP_644944|capsular polysaccharide synthesis enzyme Cap8F|NP_644944	virulence protein	capsular polysaccharide synthesis enzyme Cap8F [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	1110	1172	1109	0.9990988620000022	1012370	385774.0504940607	8499257.880384976	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4165	197	429.6318699580147	9314.547690931457	387.05573870091416	8391.484406244554
ID07606	2707|vfid|47928|vsiid|68765|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8E_[Staphylococcus_aureus_subsp._aureus_MW2]	1029	2707	47928	68765	capsular_polysaccharide_synthesis_enzyme_Cap8E_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281857"" target=""_blank"">21281857</a>"	NP_644943.1	NP_644943|capsular polysaccharide synthesis enzyme Cap8E|NP_644943	virulence protein	capsular polysaccharide synthesis enzyme Cap8E [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	1029	1359	1028	0.9990274890000014	936487	384948.9160002191	8481078.765329987	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3856	146	397.757620782258	8623.50441686235	386.5477364259068	8380.470764686444
ID05332	7693|vfid|47941|vsiid|68778|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8O_[Staphylococcus_aureus_subsp._aureus_MW2]	1263	7693	47941	68778	capsular_polysaccharide_synthesis_enzyme_Cap8O_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281867"" target=""_blank"">21281867</a>"	NP_644953.1	NP_644953|capsular polysaccharide synthesis enzyme Cap8O|NP_644953	virulence protein	capsular polysaccharide synthesis enzyme Cap8O [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	1263	1172	1262	0.999208387999999	1134026	379783.7548871146	8367281.48882114	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4768	186	491.8330746602195	10663.088449066308	389.4165278386536	8442.667022221938
ID05851	7690|vfid|9276|vsiid|11200|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8L_[Staphylococcus_aureus_subsp._aureus_MW2]	1206	7690	9276	11200	capsular_polysaccharide_synthesis_enzyme_Cap8L_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281864"" target=""_blank"">21281864</a>"	NP_644950.1	NP_644950|capsular polysaccharide synthesis enzyme Cap8L|NP_644950	virulence protein	capsular polysaccharide synthesis enzyme Cap8L [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	1206	1217	1205	0.999170139000004	1076586	377587.9645214654	8318904.495747042	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4424	174	456.3484736360761	9893.771664989375	378.3984026833135	8203.790766989534
ID01547	7697|vfid|47946|vsiid|68783|ssid|hyaluronate_lyase_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	2448	7697	47946	68783	hyaluronate_lyase_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21283858"" target=""_blank"">21283858</a>"	NP_646946.1	NP_646946|hyaluronate lyase precursor|NP_646946	virulence protein	hyaluronate lyase precursor [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	2448	1984	2447	0.99959157800001	2147325	371024.9281359543	8174309.651569809	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	8822	1096	910.0149716133508	19729.39729397294	371.7381419989178	8059.394319433391
ID08888	7692|vfid|9280|vsiid|11206|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8N_[Staphylococcus_aureus_subsp._aureus_MW2]	888	7692	9280	11206	capsular_polysaccharide_synthesis_enzyme_Cap8N_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281866"" target=""_blank"">21281866</a>"	NP_644952.1	NP_644952|capsular polysaccharide synthesis enzyme Cap8N|NP_644952	virulence protein	capsular polysaccharide synthesis enzyme Cap8N [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	888	1174	887	0.998874809999998	765608	364678.5503949357	8034488.165499992	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3165	126	326.47896000410964	7078.161690707816	367.6564864911144	7970.902804851144
ID07846	7559|vfid|9005|vsiid|10923|ssid|ferrichrome_transport_permease_[Staphylococcus_aureus_subsp._aureus_Mu50]	1005	7559	9005	10923	ferrichrome_transport_permease_[Staphylococcus_aureus_subsp._aureus_Mu50]	Staphylococcus_aureus_subsp._aureus_Mu50			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15923638"" target=""_blank"">15923638</a>"	NP_371172.1	NP_371172|SASa0648	virulence protein	ferrichrome transport permease [Staphylococcus aureus subsp. aureus Mu50]		Nov 27 2007 10:39AM	virulence factor	Yes	Yes	1005	1135	1004	0.9990048149999996	849200	357405.0186106397	7874239.900338724	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3483	111	359.2815853694514	7789.332438778933	357.49411479547405	7750.579541073565
ID04324	2692|vfid|47898|vsiid|68735|ssid|elastin_binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	1461	2692	47898	68735	elastin_binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21283098"" target=""_blank"">21283098</a>"	NP_646186.1	NP_646186|elastin binding protein|NP_646186	virulence protein	elastin binding protein [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	1461	1039	1460	0.9993157159999992	1229383	355921.0796976508	7841546.204419888	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	5091	143	525.1514645753308	11385.441127138543	359.4465876627863	7792.909737945615
ID08608	7535|vfid|8957|vsiid|10875|ssid|lipoprotein_[Staphylococcus_aureus_subsp._aureus_N315]	918	7535	8957	10875	lipoprotein_[Staphylococcus_aureus_subsp._aureus_N315]	Staphylococcus_aureus_subsp._aureus_N315			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15925817"" target=""_blank"">15925817</a>"	NP_373350.1	NP_373350|SAS0111	virulence protein	lipoprotein [Staphylococcus aureus subsp. aureus N315]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	918	1297	917	0.9989086299999934	763340	351715.94878067594	7748900.024516454	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3166	170	326.58211291406354	7080.39807670804	355.7539356362348	7712.851935411808
ID07784	7527|vfid|8941|vsiid|10859|ssid|hypothetical_protein_MW0090_[Staphylococcus_aureus_subsp._aureus_MW2]	1011	7527	8941	10859	hypothetical_protein_MW0090_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281819"" target=""_blank"">21281819</a>"	NP_644905.1	NP_644905|SASd0090	virulence protein	hypothetical protein MW0090 [Staphylococcus aureus subsp. aureus MW2]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	1011	1278	979	0.9683483200000024	840624	351695.93788437074	7748459.150466222	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3474	128	358.35320917986627	7769.204964776921	354.45421283864124	7684.67355566461
ID00961	7708|vfid|9315|vsiid|11260|ssid|hypothetical_protein_MW0259_[Staphylococcus_aureus_subsp._aureus_MW2]	3030	7708	9315	11260	hypothetical_protein_MW0259_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281988"" target=""_blank"">21281988</a>"	NP_645074.1	NP_645074|hypothetical protein|NP_645074	virulence protein	hypothetical protein MW0259 [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 03:05PM	virulence factor	Yes	Yes	3030	1272	3029	0.9996699820000016	2515320	351129.5163332808	7735979.921172402	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	10259	137	1058.2457032171124	22943.083976294307	349.2560076624133	7571.974909668089
ID01051	2700|vfid|47899|vsiid|68736|ssid|Ser-Asp_rich_fibrinogen-binding_bone_sialoprotein-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	2868	2700	47899	68736	Ser-Asp_rich_fibrinogen-binding_bone_sialoprotein-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21282245"" target=""_blank"">21282245</a>"	NP_645333.1	NP_645333|Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein|NP_645333	virulence protein	Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	2868	1830	2867	0.9996525200000131	2305330	339993.54963972745	7490635.651502961	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	9867	399	1017.8097625151815	22066.42066420664	354.8848544334664	7694.009994493251
ID05503	2695|vfid|3130|vsiid|3675|ssid|N-glycosyltransferase_PgaC_[Staphylococcus_aureus_subsp._aureus_MW2]	1239	2695	3130	3675	N-glycosyltransferase_PgaC_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21284315"" target=""_blank"">21284315</a>"	NP_647403.1	NP_647403|intercellular adhesion protein A|NP_647403	virulence protein	N-glycosyltransferase PgaC [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	1239	1132	1238	0.9991922440000024	994317	339445.67618435994	7478565.068276789	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4120	185	424.98998901008895	9213.910320921392	343.0104834625416	7436.570073382883
ID03076	7530|vfid|8947|vsiid|10865|ssid|hypothetical_protein_MW0093_[Staphylococcus_aureus_subsp._aureus_MW2]	1737	7530	8947	10865	hypothetical_protein_MW0093_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281822"" target=""_blank"">21281822</a>"	NP_644908.1	NP_644908|SASd0093	virulence protein	hypothetical protein MW0093 [Staphylococcus aureus subsp. aureus MW2]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	1737	1323	1736	0.9994245600000056	1371533	333982.0805148433	7358192.77135867	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	5618	120	579.5130481210388	12564.0165492564	333.62869782443227	7233.170149255268
ID00605	2702|vfid|47901|vsiid|68738|ssid|Ser-Asp_rich_fibrinogen-binding_bone_sialoprotein-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	3426	2702	47901	68738	Ser-Asp_rich_fibrinogen-binding_bone_sialoprotein-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21282247"" target=""_blank"">21282247</a>"	NP_645335.1	NP_645335|Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein|NP_645335	virulence protein	Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	3426	2229	2658	0.7758319529999866	2680473	330933.5522965224	7291028.514328015	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	11938	694	1231.4394390297189	26697.9760706698	359.4394159456273	7792.754252968417
