sample-id,absolute-filepath,direction
121B,/data03/bio/rogachev_human/blood/121B_S33_R2_001.fastq.gz,reverse
122B,/data03/bio/rogachev_human/blood/122B_S34_R1_001.fastq.gz,forward
122B,/data03/bio/rogachev_human/blood/122B_S34_R2_001.fastq.gz,reverse
123b,/data03/bio/rogachev_human/blood/123b_S37_R1_001.fastq.gz,forward
123b,/data03/bio/rogachev_human/blood/123b_S37_R2_001.fastq.gz,reverse
124B,/data03/bio/rogachev_human/blood/124B_S35_R1_001.fastq.gz,forward
124B,/data03/bio/rogachev_human/blood/124B_S35_R2_001.fastq.gz,reverse
125B,/data03/bio/rogachev_human/blood/125B_S36_R1_001.fastq.gz,forward
125B,/data03/bio/rogachev_human/blood/125B_S36_R2_001.fastq.gz,reverse
126B,/data03/bio/rogachev_human/blood/126B_S37_R1_001.fastq.gz,forward
126B,/data03/bio/rogachev_human/blood/126B_S37_R2_001.fastq.gz,reverse
127B,/data03/bio/rogachev_human/blood/127B_S38_R1_001.fastq.gz,forward
127B,/data03/bio/rogachev_human/blood/127B_S38_R2_001.fastq.gz,reverse
128b,/data03/bio/rogachev_human/blood/128b_S38_R1_001.fastq.gz,forward
128b,/data03/bio/rogachev_human/blood/128b_S38_R2_001.fastq.gz,reverse
129b,/data03/bio/rogachev_human/blood/129b_S39_R1_001.fastq.gz,forward
129b,/data03/bio/rogachev_human/blood/129b_S39_R2_001.fastq.gz,reverse
12B,/data03/bio/rogachev_human/blood/12B_S1_R1_001.fastq.gz,forward
12B,/data03/bio/rogachev_human/blood/12B_S1_R2_001.fastq.gz,reverse
130B,/data03/bio/rogachev_human/blood/130B_S39_R1_001.fastq.gz,forward
130B,/data03/bio/rogachev_human/blood/130B_S39_R2_001.fastq.gz,reverse
131b,/data03/bio/rogachev_human/blood/131b_S40_R1_001.fastq.gz,forward
131b,/data03/bio/rogachev_human/blood/131b_S40_R2_001.fastq.gz,reverse
133B,/data03/bio/rogachev_human/blood/133B_S40_R1_001.fastq.gz,forward
133B,/data03/bio/rogachev_human/blood/133B_S40_R2_001.fastq.gz,reverse
134B,/data03/bio/rogachev_human/blood/134B_S41_R1_001.fastq.gz,forward
134B,/data03/bio/rogachev_human/blood/134B_S41_R2_001.fastq.gz,reverse
136B,/data03/bio/rogachev_human/blood/136B_S42_R1_001.fastq.gz,forward
136B,/data03/bio/rogachev_human/blood/136B_S42_R2_001.fastq.gz,reverse
137b,/data03/bio/rogachev_human/blood/137b_S41_R1_001.fastq.gz,forward
137b,/data03/bio/rogachev_human/blood/137b_S41_R2_001.fastq.gz,reverse
138B,/data03/bio/rogachev_human/blood/138B_S43_R1_001.fastq.gz,forward
138B,/data03/bio/rogachev_human/blood/138B_S43_R2_001.fastq.gz,reverse
139B,/data03/bio/rogachev_human/blood/139B_S44_R1_001.fastq.gz,forward
139B,/data03/bio/rogachev_human/blood/139B_S44_R2_001.fastq.gz,reverse
13B,/data03/bio/rogachev_human/blood/13B_S2_R1_001.fastq.gz,forward
13B,/data03/bio/rogachev_human/blood/13B_S2_R2_001.fastq.gz,reverse
141B,/data03/bio/rogachev_human/blood/141B_S45_R1_001.fastq.gz,forward
141B,/data03/bio/rogachev_human/blood/141B_S45_R2_001.fastq.gz,reverse
142B,/data03/bio/rogachev_human/blood/142B_S46_R1_001.fastq.gz,forward
142B,/data03/bio/rogachev_human/blood/142B_S46_R2_001.fastq.gz,reverse
143B,/data03/bio/rogachev_human/blood/143B_S47_R1_001.fastq.gz,forward
143B,/data03/bio/rogachev_human/blood/143B_S47_R2_001.fastq.gz,reverse
144b,/data03/bio/rogachev_human/blood/144b_S42_R1_001.fastq.gz,forward
144b,/data03/bio/rogachev_human/blood/144b_S42_R2_001.fastq.gz,reverse
145b,/data03/bio/rogachev_human/blood/145b_S43_R1_001.fastq.gz,forward
145b,/data03/bio/rogachev_human/blood/145b_S43_R2_001.fastq.gz,reverse
146B,/data03/bio/rogachev_human/blood/146B_S48_R1_001.fastq.gz,forward
146B,/data03/bio/rogachev_human/blood/146B_S48_R2_001.fastq.gz,reverse
147B,/data03/bio/rogachev_human/blood/147B_S49_R1_001.fastq.gz,forward
147B,/data03/bio/rogachev_human/blood/147B_S49_R2_001.fastq.gz,reverse
148B,/data03/bio/rogachev_human/blood/148B_S50_R1_001.fastq.gz,forward
148B,/data03/bio/rogachev_human/blood/148B_S50_R2_001.fastq.gz,reverse
14B,/data03/bio/rogachev_human/blood/14B_S3_R1_001.fastq.gz,forward
14B,/data03/bio/rogachev_human/blood/14B_S3_R2_001.fastq.gz,reverse
151b,/data03/bio/rogachev_human/blood/151b_S44_R1_001.fastq.gz,forward
151b,/data03/bio/rogachev_human/blood/151b_S44_R2_001.fastq.gz,reverse
153b,/data03/bio/rogachev_human/blood/153b_S125_R1_001.fastq.gz,forward
153b,/data03/bio/rogachev_human/blood/153b_S125_R2_001.fastq.gz,reverse
154B,/data03/bio/rogachev_human/blood/154B_S51_R1_001.fastq.gz,forward
154B,/data03/bio/rogachev_human/blood/154B_S51_R2_001.fastq.gz,reverse
157b,/data03/bio/rogachev_human/blood/157b_S117_R1_001.fastq.gz,forward
157b,/data03/bio/rogachev_human/blood/157b_S117_R2_001.fastq.gz,reverse
15b,/data03/bio/rogachev_human/blood/15b_S119_R1_001.fastq.gz,forward
15b,/data03/bio/rogachev_human/blood/15b_S119_R2_001.fastq.gz,reverse
160b,/data03/bio/rogachev_human/blood/160b_S46_R1_001.fastq.gz,forward
160b,/data03/bio/rogachev_human/blood/160b_S46_R2_001.fastq.gz,reverse
161b,/data03/bio/rogachev_human/blood/161b_S136_R1_001.fastq.gz,forward
161b,/data03/bio/rogachev_human/blood/161b_S136_R2_001.fastq.gz,reverse
163b,/data03/bio/rogachev_human/blood/163b_S129_R1_001.fastq.gz,forward
163b,/data03/bio/rogachev_human/blood/163b_S129_R2_001.fastq.gz,reverse
164B,/data03/bio/rogachev_human/blood/164B_S111_R1_001.fastq.gz,forward
164B,/data03/bio/rogachev_human/blood/164B_S111_R2_001.fastq.gz,reverse
165b,/data03/bio/rogachev_human/blood/165b_S90_R1_001.fastq.gz,forward
165b,/data03/bio/rogachev_human/blood/165b_S90_R2_001.fastq.gz,reverse
166b,/data03/bio/rogachev_human/blood/166b_S102_R1_001.fastq.gz,forward
166b,/data03/bio/rogachev_human/blood/166b_S102_R2_001.fastq.gz,reverse
166b-1,/data03/bio/rogachev_human/blood/166b_S45_R1_001.fastq.gz,forward
166b-1,/data03/bio/rogachev_human/blood/166b_S45_R2_001.fastq.gz,reverse
167b,/data03/bio/rogachev_human/blood/167b_S47_R1_001.fastq.gz,forward
167b,/data03/bio/rogachev_human/blood/167b_S47_R2_001.fastq.gz,reverse
168b,/data03/bio/rogachev_human/blood/168b_S48_R1_001.fastq.gz,forward
168b,/data03/bio/rogachev_human/blood/168b_S48_R2_001.fastq.gz,reverse
169b,/data03/bio/rogachev_human/blood/169b_S49_R1_001.fastq.gz,forward
169b,/data03/bio/rogachev_human/blood/169b_S49_R2_001.fastq.gz,reverse
16B,/data03/bio/rogachev_human/blood/16B_S4_R1_001.fastq.gz,forward
16B,/data03/bio/rogachev_human/blood/16B_S4_R2_001.fastq.gz,reverse
170B,/data03/bio/rogachev_human/blood/170B_S52_R1_001.fastq.gz,forward
170B,/data03/bio/rogachev_human/blood/170B_S52_R2_001.fastq.gz,reverse
172b,/data03/bio/rogachev_human/blood/172b_S114_R1_001.fastq.gz,forward
172b,/data03/bio/rogachev_human/blood/172b_S114_R2_001.fastq.gz,reverse
173B,/data03/bio/rogachev_human/blood/173B_S112_R1_001.fastq.gz,forward
173B,/data03/bio/rogachev_human/blood/173B_S112_R2_001.fastq.gz,reverse
174B,/data03/bio/rogachev_human/blood/174B_S53_R1_001.fastq.gz,forward
174B,/data03/bio/rogachev_human/blood/174B_S53_R2_001.fastq.gz,reverse
175B,/data03/bio/rogachev_human/blood/175B_S54_R1_001.fastq.gz,forward
175B,/data03/bio/rogachev_human/blood/175B_S54_R2_001.fastq.gz,reverse
176B,/data03/bio/rogachev_human/blood/176B_S113_R1_001.fastq.gz,forward
176B,/data03/bio/rogachev_human/blood/176B_S113_R2_001.fastq.gz,reverse
177b,/data03/bio/rogachev_human/blood/177b_S50_R1_001.fastq.gz,forward
177b,/data03/bio/rogachev_human/blood/177b_S50_R2_001.fastq.gz,reverse
178b,/data03/bio/rogachev_human/blood/178b_S51_R1_001.fastq.gz,forward
178b,/data03/bio/rogachev_human/blood/178b_S51_R2_001.fastq.gz,reverse
179B,/data03/bio/rogachev_human/blood/179B_S114_R1_001.fastq.gz,forward
179B,/data03/bio/rogachev_human/blood/179B_S114_R2_001.fastq.gz,reverse
17b,/data03/bio/rogachev_human/blood/17b_S130_R1_001.fastq.gz,forward
17b,/data03/bio/rogachev_human/blood/17b_S130_R2_001.fastq.gz,reverse
180b,/data03/bio/rogachev_human/blood/180b_S126_R1_001.fastq.gz,forward
180b,/data03/bio/rogachev_human/blood/180b_S126_R2_001.fastq.gz,reverse
181b,/data03/bio/rogachev_human/blood/181b_S52_R1_001.fastq.gz,forward
181b,/data03/bio/rogachev_human/blood/181b_S52_R2_001.fastq.gz,reverse
182b,/data03/bio/rogachev_human/blood/182b_S53_R1_001.fastq.gz,forward
182b,/data03/bio/rogachev_human/blood/182b_S53_R2_001.fastq.gz,reverse
183b,/data03/bio/rogachev_human/blood/183b_S137_R1_001.fastq.gz,forward
183b,/data03/bio/rogachev_human/blood/183b_S137_R2_001.fastq.gz,reverse
184B,/data03/bio/rogachev_human/blood/184B_S55_R1_001.fastq.gz,forward
184B,/data03/bio/rogachev_human/blood/184B_S55_R2_001.fastq.gz,reverse
185b,/data03/bio/rogachev_human/blood/185b_S54_R1_001.fastq.gz,forward
185b,/data03/bio/rogachev_human/blood/185b_S54_R2_001.fastq.gz,reverse
186b,/data03/bio/rogachev_human/blood/186b_S91_R1_001.fastq.gz,forward
186b,/data03/bio/rogachev_human/blood/186b_S91_R2_001.fastq.gz,reverse
187b,/data03/bio/rogachev_human/blood/187b_S55_R1_001.fastq.gz,forward
187b,/data03/bio/rogachev_human/blood/187b_S55_R2_001.fastq.gz,reverse
188b,/data03/bio/rogachev_human/blood/188b_S56_R1_001.fastq.gz,forward
188b,/data03/bio/rogachev_human/blood/188b_S56_R2_001.fastq.gz,reverse
18B,/data03/bio/rogachev_human/blood/18B_S5_R1_001.fastq.gz,forward
18B,/data03/bio/rogachev_human/blood/18B_S5_R2_001.fastq.gz,reverse
190B,/data03/bio/rogachev_human/blood/190B_S56_R1_001.fastq.gz,forward
190B,/data03/bio/rogachev_human/blood/190B_S56_R2_001.fastq.gz,reverse
191b,/data03/bio/rogachev_human/blood/191b_S103_R1_001.fastq.gz,forward
191b,/data03/bio/rogachev_human/blood/191b_S103_R2_001.fastq.gz,reverse
192b,/data03/bio/rogachev_human/blood/192b_S57_R1_001.fastq.gz,forward
192b,/data03/bio/rogachev_human/blood/192b_S57_R2_001.fastq.gz,reverse
194b,/data03/bio/rogachev_human/blood/194b_S140_R1_001.fastq.gz,forward
194b,/data03/bio/rogachev_human/blood/194b_S140_R2_001.fastq.gz,reverse
198b,/data03/bio/rogachev_human/blood/198b_S58_R1_001.fastq.gz,forward
198b,/data03/bio/rogachev_human/blood/198b_S58_R2_001.fastq.gz,reverse
199b,/data03/bio/rogachev_human/blood/199b_S94_R1_001.fastq.gz,forward
199b,/data03/bio/rogachev_human/blood/199b_S94_R2_001.fastq.gz,reverse
19B,/data03/bio/rogachev_human/blood/19B_S6_R1_001.fastq.gz,forward
19B,/data03/bio/rogachev_human/blood/19B_S6_R2_001.fastq.gz,reverse
1b,/data03/bio/rogachev_human/blood/1b_S16_R1_001.fastq.gz,forward
1b,/data03/bio/rogachev_human/blood/1b_S16_R2_001.fastq.gz,reverse
200B,/data03/bio/rogachev_human/blood/200B_S115_R1_001.fastq.gz,forward
200B,/data03/bio/rogachev_human/blood/200B_S115_R2_001.fastq.gz,reverse
201b,/data03/bio/rogachev_human/blood/201b_S63_R1_001.fastq.gz,forward
201b,/data03/bio/rogachev_human/blood/201b_S63_R2_001.fastq.gz,reverse
202b,/data03/bio/rogachev_human/blood/202b_S64_R1_001.fastq.gz,forward
202b,/data03/bio/rogachev_human/blood/202b_S64_R2_001.fastq.gz,reverse
203b,/data03/bio/rogachev_human/blood/203b_S65_R1_001.fastq.gz,forward
203b,/data03/bio/rogachev_human/blood/203b_S65_R2_001.fastq.gz,reverse
204b,/data03/bio/rogachev_human/blood/204b_S59_R1_001.fastq.gz,forward
204b,/data03/bio/rogachev_human/blood/204b_S59_R2_001.fastq.gz,reverse
205b,/data03/bio/rogachev_human/blood/205b_S60_R1_001.fastq.gz,forward
205b,/data03/bio/rogachev_human/blood/205b_S60_R2_001.fastq.gz,reverse
206b,/data03/bio/rogachev_human/blood/206b_S61_R1_001.fastq.gz,forward
206b,/data03/bio/rogachev_human/blood/206b_S61_R2_001.fastq.gz,reverse
207b,/data03/bio/rogachev_human/blood/207b_S62_R1_001.fastq.gz,forward
207b,/data03/bio/rogachev_human/blood/207b_S62_R2_001.fastq.gz,reverse
208b,/data03/bio/rogachev_human/blood/208b_S66_R1_001.fastq.gz,forward
208b,/data03/bio/rogachev_human/blood/208b_S66_R2_001.fastq.gz,reverse
209b,/data03/bio/rogachev_human/blood/209b_S67_R1_001.fastq.gz,forward
209b,/data03/bio/rogachev_human/blood/209b_S67_R2_001.fastq.gz,reverse
20B,/data03/bio/rogachev_human/blood/20B_S7_R1_001.fastq.gz,forward
20B,/data03/bio/rogachev_human/blood/20B_S7_R2_001.fastq.gz,reverse
210b,/data03/bio/rogachev_human/blood/210b_S68_R1_001.fastq.gz,forward
210b,/data03/bio/rogachev_human/blood/210b_S68_R2_001.fastq.gz,reverse
211b,/data03/bio/rogachev_human/blood/211b_S69_R1_001.fastq.gz,forward
211b,/data03/bio/rogachev_human/blood/211b_S69_R2_001.fastq.gz,reverse
212b,/data03/bio/rogachev_human/blood/212b_S70_R1_001.fastq.gz,forward
212b,/data03/bio/rogachev_human/blood/212b_S70_R2_001.fastq.gz,reverse
21B,/data03/bio/rogachev_human/blood/21B_S8_R1_001.fastq.gz,forward
21B,/data03/bio/rogachev_human/blood/21B_S8_R2_001.fastq.gz,reverse
22b,/data03/bio/rogachev_human/blood/22b_S84_R1_001.fastq.gz,forward
22b,/data03/bio/rogachev_human/blood/22b_S84_R2_001.fastq.gz,reverse
23B,/data03/bio/rogachev_human/blood/23B_S9_R1_001.fastq.gz,forward
23B,/data03/bio/rogachev_human/blood/23B_S9_R2_001.fastq.gz,reverse
