Clinical, ELISA and diversity data	Alpha: Berger-Parker Dominance	Alpha: Chao1 Richness	Alpha: Distinct OTUs	Alpha: Gini–Simpson Index	Alpha: Inverse Simpson Index	Alpha: Shannon Entropy	Alpha: Simpson Index	Beta: Bray-Curtis Distance	Beta: Euclidean Distance	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Resistin	ELISA: VEGF
Clinical: Diastolic Blood Pressure	-0.3585685828003181	0.11952286093343938	0.11952286093343938	-0.05976143046671969	-0.05976143046671969	0.05976143046671969	0.05976143046671969	-0.3585685828003181	-0.17928429140015906	-0.31008683647302115	1.0	-0.7236272269866327	0.18090680674665818	0.29880715233359845	0.4383570037596046	0.17928429140015906	0.4183300132670378	0.42211588240886905	0.4183300132670378	-0.36265926036768287	-0.6573757351339166	-0.6573757351339166	-0.3415650255319866	-0.7768985960673559	-0.23904572186687875	0.0
Clinical: Glucose	0.7748062179181807	-0.5946187253790689	-0.5946187253790689	0.5765999761251577	0.5765999761251577	-0.5225437283634242	-0.5765999761251577	0.7207499701564472	0.6847124716486248	0.0	-0.7236272269866327	1.0	-0.15454545454545454	-0.2522624895547565	-0.764695598449978	-0.23424374030084533	-0.4504687313477795	-0.33636363636363636	-0.21622499104693416	0.03976213862437721	0.41443123283995714	0.41443123283995714	0.6179143806533246	0.5225437283634242	-0.2522624895547565	-0.23424374030084533
Clinical: High-Density Lipoproteins	-0.3964124835860459	0.2522624895547565	0.2522624895547565	-0.5585812268712466	-0.5585812268712466	0.5585812268712466	0.5585812268712466	-0.27028123880866767	-0.30631873731649006	0.18698939800169143	0.18090680674665818	-0.15454545454545454	1.0	-0.16216874328520062	0.24545784641604232	-0.0900937462695559	0.16216874328520062	-0.22727272727272727	-0.12613124477737825	0.755480633863167	0.1801874925391118	0.1801874925391118	0.41194292043554975	-0.10811249552346708	0.5765999761251577	-0.10811249552346708
Clinical: Low-Density Lipoproteins	-0.42857142857142855	0.42857142857142855	0.42857142857142855	-0.17857142857142858	-0.17857142857142858	0.2857142857142857	0.17857142857142858	-0.4642857142857143	-0.42857142857142855	-0.5188745216627708	0.29880715233359845	-0.2522624895547565	-0.16216874328520062	1.0	-0.24325638628366392	0.6785714285714286	0.9285714285714286	0.5585812268712466	-0.07142857142857142	-0.2561358820277077	-0.25	-0.25	0.0	0.0	-0.5	0.07142857142857142
Clinical: Systolic Blood Pressure	-0.41166465371081584	0.5613608914238398	0.5613608914238398	-0.5052248022814558	-0.5052248022814558	0.5052248022814558	0.5052248022814558	-0.24325638628366392	-0.5426488617097118	0.5437149461664321	0.4383570037596046	-0.764695598449978	0.24545784641604232	-0.24325638628366392	1.0	0.16840826742715195	0.018712029714127994	0.19825441441295727	0.35552856456843185	0.22710603822921685	-0.48651277256732783	-0.48651277256732783	-0.641688947919748	-0.5613608914238398	0.41166465371081584	-0.14969623771302396
Clinical: Thyroglobulin	-0.21428571428571427	0.7142857142857143	0.7142857142857143	-0.32142857142857145	-0.32142857142857145	0.5	0.32142857142857145	-0.07142857142857142	-0.39285714285714285	-0.14824986333222023	0.17928429140015906	-0.23424374030084533	-0.0900937462695559	0.6785714285714286	0.16840826742715195	1.0	0.7142857142857143	0.3603749850782236	0.4642857142857143	0.07881104062391006	-0.6071428571428571	-0.6071428571428571	0.0	0.0	-0.42857142857142855	-0.14285714285714285
Clinical: Total Blood Cholesterol	-0.6428571428571429	0.6428571428571429	0.6428571428571429	-0.4642857142857143	-0.4642857142857143	0.5714285714285714	0.4642857142857143	-0.6071428571428571	-0.6428571428571429	-0.3706246583305506	0.4183300132670378	-0.4504687313477795	0.16216874328520062	0.9285714285714286	0.018712029714127994	0.7142857142857143	1.0	0.5225437283634242	-0.03571428571428571	0.019702760155977515	-0.2857142857142857	-0.2857142857142857	0.0	-0.10714285714285714	-0.25	0.03571428571428571
Clinical: Waist Circumference	-0.12613124477737825	0.19820624179302296	0.19820624179302296	0.14414999403128942	0.14414999403128942	0.018018749253911177	-0.14414999403128942	-0.12613124477737825	-0.41443123283995714	0.18698939800169143	0.42211588240886905	-0.33636363636363636	-0.22727272727272727	0.5585812268712466	0.19825441441295727	0.3603749850782236	0.5225437283634242	1.0	-0.16216874328520062	-0.4870861981486208	-0.5225437283634242	-0.5225437283634242	-0.6179143806533246	-0.6666937223947136	-0.46848748060169065	-0.5946187253790689
ELISA: ASPR	0.21428571428571427	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.07142857142857142	-0.03571428571428571	-0.07142857142857142	0.32142857142857145	0.2857142857142857	-0.22237479499833035	0.4183300132670378	-0.21622499104693416	-0.12613124477737825	-0.07142857142857142	0.35552856456843185	0.4642857142857143	-0.03571428571428571	-0.16216874328520062	1.0	-0.11821656093586509	-0.75	-0.75	0.0	-0.21428571428571427	-0.35714285714285715	0.07142857142857142
ELISA: FGF21	-0.3349469226516178	0.4925690038994379	0.4925690038994379	-0.7290021257711681	-0.7290021257711681	0.7290021257711681	0.7290021257711681	-0.15762208124782012	-0.3743524429635728	0.3680373690492888	-0.36265926036768287	0.03976213862437721	0.755480633863167	-0.2561358820277077	0.22710603822921685	0.07881104062391006	0.019702760155977515	-0.4870861981486208	-0.11821656093586509	1.0	0.3743524429635728	0.3743524429635728	0.4504426164614508	0.39405520311955033	0.7290021257711681	0.03940552031195503
ELISA: HOMA	-0.10714285714285714	-0.25	-0.25	-0.14285714285714285	-0.14285714285714285	0.0	0.14285714285714285	-0.21428571428571427	0.03571428571428571	0.0	-0.6573757351339166	0.41443123283995714	0.1801874925391118	-0.25	-0.48651277256732783	-0.6071428571428571	-0.2857142857142857	-0.5225437283634242	-0.75	0.3743524429635728	1.0	1.0	0.40824829046386296	0.6785714285714286	0.5714285714285714	0.39285714285714285
ELISA: Insulin	-0.10714285714285714	-0.25	-0.25	-0.14285714285714285	-0.14285714285714285	0.0	0.14285714285714285	-0.21428571428571427	0.03571428571428571	0.0	-0.6573757351339166	0.41443123283995714	0.1801874925391118	-0.25	-0.48651277256732783	-0.6071428571428571	-0.2857142857142857	-0.5225437283634242	-0.75	0.3743524429635728	1.0	1.0	0.40824829046386296	0.6785714285714286	0.5714285714285714	0.39285714285714285
ELISA: Irisin	0.20412414523193148	-0.20412414523193148	-0.20412414523193148	0.0	0.0	0.0	0.0	0.20412414523193148	0.40824829046386296	-0.42365927286816174	-0.3415650255319866	0.6179143806533246	0.41194292043554975	0.0	-0.641688947919748	0.0	0.0	-0.6179143806533246	0.0	0.4504426164614508	0.40824829046386296	0.40824829046386296	1.0	0.6123724356957945	0.0	0.20412414523193148
ELISA: Leptin	0.03571428571428571	0.03571428571428571	0.03571428571428571	-0.17857142857142858	-0.17857142857142858	0.10714285714285714	0.17857142857142858	0.0	0.14285714285714285	-0.2594372608313854	-0.7768985960673559	0.5225437283634242	-0.10811249552346708	0.0	-0.5613608914238398	0.0	-0.10714285714285714	-0.6666937223947136	-0.21428571428571427	0.39405520311955033	0.6785714285714286	0.6785714285714286	0.6123724356957945	1.0	0.21428571428571427	0.5357142857142857
ELISA: Resistin	-0.5	0.2857142857142857	0.2857142857142857	-0.6785714285714286	-0.6785714285714286	0.5357142857142857	0.6785714285714286	-0.42857142857142855	-0.42857142857142855	0.4447495899966607	-0.23904572186687875	-0.2522624895547565	0.5765999761251577	-0.5	0.41166465371081584	-0.42857142857142855	-0.25	-0.46848748060169065	-0.35714285714285715	0.7290021257711681	0.5714285714285714	0.5714285714285714	0.0	0.21428571428571427	1.0	0.2857142857142857
ELISA: VEGF	-0.42857142857142855	0.07142857142857142	0.07142857142857142	-0.32142857142857145	-0.32142857142857145	0.10714285714285714	0.32142857142857145	-0.5357142857142857	0.0	-0.630061919161936	0.0	-0.23424374030084533	-0.10811249552346708	0.07142857142857142	-0.14969623771302396	-0.14285714285714285	0.03571428571428571	-0.5946187253790689	0.07142857142857142	0.03940552031195503	0.39285714285714285	0.39285714285714285	0.20412414523193148	0.5357142857142857	0.2857142857142857	1.0
