Clinical, ELISA and diversity data	Alpha: Berger-Parker Dominance	Alpha: Chao1 Richness	Alpha: Distinct OTUs	Alpha: Gini–Simpson Index	Alpha: Inverse Simpson Index	Alpha: Shannon Entropy	Alpha: Simpson Index	Beta: Bray-Curtis Distance	Beta: Euclidean Distance	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Clinical: High-Density Lipoproteins	-0.30811583481320853	0.15130688316720062	0.15130688316720062	-0.429161341346969	-0.429161341346969	0.2778544581797684	0.429161341346969	-0.013755171197018237	0.052269650548669305	0.27572944153562245	-0.6395990459719991	-0.6074380165289256	1.0	0.18707032827944803	-0.45834924851410563	-0.4814309918956383	0.2200827391522918	0.023415977961432508	-0.38016528925619836	-0.16979258355400645	-0.4401654783045836	-0.2145806706734845	-0.1190611649556448	0.3163689375314195	-0.463547228508435	-0.12379654077316414	-0.3493813484042632
Clinical: Low-Density Lipoproteins	-0.33516483516483514	0.24725274725274726	0.24725274725274726	-0.27472527472527475	-0.27472527472527475	0.19230769230769232	0.27472527472527475	-0.3626373626373626	-0.532967032967033	0.23601465584129153	-0.2673056731407792	-0.4979371973320602	0.18707032827944803	1.0	-0.4133343213204	-0.2802197802197802	0.9175824175824175	0.5722151217959587	-0.18156825980064073	-0.5821532244118162	-0.21428571428571427	-0.04945054945054945	0.25637274929535303	0.29120879120879123	-0.46291004988627577	-0.3901098901098901	-0.06593406593406594
Clinical: Systolic Blood Pressure	-0.3162423666478228	0.4022380979292483	0.4022380979292483	-0.22192446782303354	-0.22192446782303354	0.4022380979292483	0.22192446782303354	-0.22747257951860939	-0.1581211833239114	-0.14327408648847445	0.8608823086560867	0.6708566273706454	-0.45834924851410563	-0.4133343213204	1.0	0.5686814487965235	-0.23856880290976107	-0.06250217025192349	0.3569568389943186	0.5650044403262957	0.4161083771681879	0.23302069121418523	0.09567082833399856	-0.4327527122549154	0.07790439207380045	0.4216564888637637	0.055481116955758386
Clinical: Thyroglobulin	-0.15384615384615385	0.5164835164835165	0.5164835164835165	-0.15934065934065933	-0.15934065934065933	0.4175824175824176	0.15934065934065933	-0.27472527472527475	-0.19230769230769232	-0.47202931168258305	0.5655625294873329	0.6024764984293988	-0.4814309918956383	-0.2802197802197802	0.5686814487965235	1.0	-0.1043956043956044	0.15405791740660427	0.654746148978068	0.37303022146776565	0.14835164835164835	-0.054945054945054944	-0.063164300551029	-0.5769230769230769	0.46291004988627577	0.08241758241758242	0.2857142857142857
Clinical: Total Blood Cholesterol	-0.4230769230769231	0.5164835164835165	0.5164835164835165	-0.42857142857142855	-0.42857142857142855	0.46703296703296704	0.42857142857142855	-0.5604395604395604	-0.7362637362637363	0.22477586270599192	-0.15756965995666986	-0.429161341346969	0.2200827391522918	0.9175824175824175	-0.23856880290976107	-0.1043956043956044	1.0	0.6767544228932972	-0.06602482174568754	-0.3956381136779333	-0.21978021978021978	-0.016483516483516484	0.21550173129174605	0.08791208791208792	-0.46291004988627577	-0.23076923076923078	-0.15384615384615385
Clinical: Waist Circumference	-0.2778544581797684	0.48968409461384926	0.48968409461384926	-0.28610756089797934	-0.28610756089797934	0.382393759277107	0.28610756089797934	-0.6685013201750863	-0.6189827038658207	0.26869552721073414	-0.07325804050780606	-0.17768595041322313	0.023415977961432508	0.5722151217959587	-0.06250217025192349	0.15405791740660427	0.6767544228932972	1.0	0.2534435261707989	-0.577294784083622	-0.08803309566091672	-0.04401654783045836	-0.0892958737167336	-0.4346634098257763	-0.3862893570903625	-0.429161341346969	-0.27510342394036474
ELISA: ASPR	-0.13204964349137507	0.30811583481320853	0.30811583481320853	-0.14855584892779697	-0.14855584892779697	0.22283377339169544	0.14855584892779697	-0.31361790329201583	-0.09078412990032037	-0.3601364134342824	0.45504513623118	0.34710743801652894	-0.38016528925619836	-0.18156825980064073	0.3569568389943186	0.654746148978068	-0.06602482174568754	0.2534435261707989	1.0	-0.13017431405807162	0.049518616309265656	-0.12104550653376049	0.1525471175994199	-0.6382399435416463	0.2317736142542175	-0.2200827391522918	0.4484185810227945
ELISA: FGF21	0.08477959578812856	0.16390721852371523	0.16390721852371523	0.05651973052541904	0.05651973052541904	0.20347102989150856	-0.05651973052541904	0.1299953802084638	0.062171703577960945	-0.3208146081941935	0.4341574925869784	0.45843997559581745	-0.16979258355400645	-0.5821532244118162	0.5650044403262957	0.37303022146776565	-0.3956381136779333	-0.577294784083622	-0.13017431405807162	1.0	0.2769466795745533	0.23738286820675997	0.011466093931176603	0.07912762273558666	0.3174510888285778	0.6217170357796095	0.0
ELISA: HOMA	-0.1043956043956044	-0.01098901098901099	-0.01098901098901099	0.016483516483516484	0.016483516483516484	0.04395604395604396	-0.016483516483516484	-0.41208791208791207	-0.2802197802197802	-0.13486551762359517	0.3573454788303048	0.6079785669082061	-0.4401654783045836	-0.21428571428571427	0.4161083771681879	0.14835164835164835	-0.21978021978021978	-0.08803309566091672	0.049518616309265656	0.2769466795745533	1.0	0.9340659340659341	0.3641236149412261	-0.07692307692307693	0.07715167498104596	0.35714285714285715	0.47802197802197804
ELISA: Insulin	-0.13736263736263737	0.02197802197802198	0.02197802197802198	-0.054945054945054944	-0.054945054945054944	0.10989010989010989	0.054945054945054944	-0.4835164835164835	-0.4010989010989011	-0.042145474257373486	0.17163837959565822	0.44291651254398723	-0.2145806706734845	-0.04945054945054945	0.23302069121418523	-0.054945054945054944	-0.016483516483516484	-0.04401654783045836	-0.12104550653376049	0.23738286820675997	0.9340659340659341	1.0	0.4421501038572031	0.04945054945054945	-0.07715167498104596	0.38461538461538464	0.37362637362637363
ELISA: Irisin	-0.014862188364948003	-0.08917313018968802	-0.08917313018968802	0.05944875345979201	0.05944875345979201	-0.026008829638659005	-0.05944875345979201	-0.063164300551029	-0.10403531855463602	-0.02470001383201162	0.2454530534032779	0.37206614048639003	-0.1190611649556448	0.25637274929535303	0.09567082833399856	-0.063164300551029	0.21550173129174605	-0.0892958737167336	0.1525471175994199	0.011466093931176603	0.3641236149412261	0.4421501038572031	1.0	0.23407946674793104	-0.15651673213169873	-0.15233743074071704	0.26380384347782704
ELISA: Leptin	0.21978021978021978	-0.27472527472527475	-0.27472527472527475	0.23626373626373626	0.23626373626373626	-0.3021978021978022	-0.23626373626373626	0.3626373626373626	0.23076923076923078	0.005619396567649798	-0.4417577966642351	-0.4099041016711435	0.3163689375314195	0.29120879120879123	-0.4327527122549154	-0.5769230769230769	0.08791208791208792	-0.4346634098257763	-0.6382399435416463	0.07912762273558666	-0.07692307692307693	0.04945054945054945	0.23407946674793104	1.0	-0.3857583749052298	-0.17582417582417584	-0.08791208791208792
ELISA: Myostatin/GDF8	0.23145502494313788	-0.3086066999241838	-0.3086066999241838	0.23145502494313788	0.23145502494313788	-0.23145502494313788	-0.23145502494313788	0.3086066999241838	0.23145502494313788	-0.31562138431599956	0.2765663626146085	0.3862893570903625	-0.463547228508435	-0.46291004988627577	0.07790439207380045	0.46291004988627577	-0.46291004988627577	-0.3862893570903625	0.2317736142542175	0.3174510888285778	0.07715167498104596	-0.07715167498104596	-0.15651673213169873	-0.3857583749052298	1.0	0.3857583749052298	0.46291004988627577
ELISA: Resistin	-0.25824175824175827	0.12637362637362637	0.12637362637362637	-0.31868131868131866	-0.31868131868131866	0.3131868131868132	0.31868131868131866	-0.06043956043956044	-0.25274725274725274	0.10957823306917107	0.2673056731407792	0.26960135546155745	-0.12379654077316414	-0.3901098901098901	0.4216564888637637	0.08241758241758242	-0.23076923076923078	-0.429161341346969	-0.2200827391522918	0.6217170357796095	0.35714285714285715	0.38461538461538464	-0.15233743074071704	-0.17582417582417584	0.3857583749052298	1.0	0.23076923076923078
ELISA: VEGF	-0.25274725274725274	-0.02197802197802198	-0.02197802197802198	-0.1978021978021978	-0.1978021978021978	0.038461538461538464	0.1978021978021978	-0.2087912087912088	-0.12087912087912088	-0.39335775973548587	0.1969620749458373	0.24759308154632828	-0.3493813484042632	-0.06593406593406594	0.055481116955758386	0.2857142857142857	-0.15384615384615385	-0.27510342394036474	0.4484185810227945	0.0	0.47802197802197804	0.37362637362637363	0.26380384347782704	-0.08791208791208792	0.46291004988627577	0.23076923076923078	1.0
